,100,120,140,160,180,200,220,250,280,320,360,400,450
2,0.76,0.6,0.49,0.42,0.36,0.31,0.28,0.24,0.21,0.17,0.15,0.13,0.11
2.5,1.13,0.9,0.74,0.62,0.54,0.47,0.42,0.36,0.31,0.26,0.23,0.2,0.17
3,1.58,1.25,1.03,0.87,0.75,0.66,0.58,0.5,0.43,0.37,0.32,0.28,0.24
3.5,2.1,1.66,1.37,1.15,0.99,0.87,0.77,0.66,0.57,0.49,0.42,0.37,0.32
4,2.68,2.12,1.75,1.48,1.27,1.12,0.99,0.84,0.73,0.62,0.54,0.47,0.41
4.5,3.33,2.64,2.17,1.84,1.58,1.39,1.23,1.05,0.91,0.77,0.67,0.59,0.51
5,4.05,3.21,2.64,2.23,1.93,1.69,1.5,1.28,1.11,0.94,0.82,0.72,0.62
5.5,4.84,3.84,3.16,2.67,2.3,2.02,1.79,1.53,1.33,1.13,0.98,0.86,0.74
6,5.69,4.51,3.72,3.14,2.71,2.38,2.11,1.8,1.56,1.33,1.15,1.01,0.87
6.5,6.61,5.25,4.32,3.65,3.15,2.76,2.45,2.09,1.82,1.54,1.34,1.17,1.02
7,7.6,6.03,4.96,4.2,3.62,3.17,2.82,2.41,2.09,1.77,1.54,1.35,1.17
7.5,8.66,6.87,5.65,4.78,4.12,3.62,3.21,2.74,2.38,2.02,1.75,1.54,1.33
8,9.78,7.76,6.39,5.4,4.66,4.09,3.63,3.1,2.69,2.28,1.98,1.74,1.5
8.5,10.96,8.7,7.16,6.06,5.23,4.58,4.07,3.47,3.02,2.56,2.22,1.95,1.69
9,12.22,9.7,7.98,6.75,5.83,5.11,4.54,3.87,3.37,2.86,2.47,2.17,1.88
